PlayButtonText 开始游戏
PlayButtonTooltip 开始游戏
SurvivorsButtonText 角色设定
SurvivorsButtonTooltip 角色设定
ConfigurationButtonText 游戏设置
ConfigurationButtonTooltip 游戏设置
WorkshopButtonText 创意工坊
WorkshopButtonTooltip 创意工坊
ExitButtonText 退出游戏
ExitButtonTooltip 退出到Windows
BackButtonText 返回
BackButtonTooltip 返回上一级菜单
NewsTooltip 点击这里查看完整内容并评论。

Featured_Workshop_Title 创意工坊最新推荐： {0}
ReadMore_Link_On [详细信息]
ReadMore_Link_Off [收起]
Featured_Workshop_Link 在创意工坊查看该项目
News_Author {0} - {1}
News_Comments_Link 查看留言

Banned 你已被服务器封禁。时长：{0} 原因：{1}。
Kicked 你被踢出服务器。原因：{0}.
Whitelisted 你不在该服务器的白名单里。
Password 你输入的密码错误。
Full 服务器已满。
Hash_Level 服务器正在使用修改过的文件，无法加入。
Hash_Assembly 该服务器正使用修改过的代码。
Version 你的版本不同于服务器的版本。
Pro_Server 你需要购买黄金版来进入该服务器。
Pro_Character 请选择一个可用的角色。
Pro_Desync 你并不是黄金会员！
Pro_Appearance 请选择一个可用的角色外形。
Auth_Verification 凭证验证失败。
Auth_No_Steam 你没有连接到Steam。
Auth_License_Expired 你的凭证验证已过期。
Auth_VAC_Ban 你被VAC反作弊系统封禁，无法连接受VAC保护的服务器。
Auth_Elsewhere 你已加入其他服务器。
Auth_Timed_Out Steam反作弊服务器没有响应。
Auth_Used 你的认证凭证已经被使用。
Auth_No_User 你没有登陆账号。
Auth_Pub_Ban 你已经被禁止加入多人游戏。
Auth_Econ_Serialize 你的市场凭证加密失败。
Auth_Econ_Deserialize 你的市场凭证解密失败。
Auth_Econ_Verify 你的市场凭证验证失败。
Auth_Empty Steam凭证服务器没有响应。
Already_Connected 你已经在这个服务器中。
Already_Pending 你正在此服务器中排队进入。
Late_Pending 你从此队列中被后延。
Not_Pending 你暂未连接至此服务器。
Name_Player_Short 你的Steam用户名太短了。
Name_Player_Long 你的Steam用户名太长了。
Name_Player_Invalid 你的Steam用户名包含无效字符。
Name_Player_Number 你的Steam用户名不能为纯数字。
Name_Character_Short 你的角色名字太短了。
Name_Character_Long 你的角色名字太长了。
Name_Character_Invalid 你的角色名字含有无效字符。
Name_Character_Number 你的角色名字不能为纯数字。
Timed_Out 与服务器丢失连接。
Map 服务器正在运行一张你没有的地图。
Shutdown 服务器关闭。
Ping 你的Ping太高了！
Plugin 你已筛选掉了该服务器正在运行的插件，无法进入该服务器。
Barricade 你的客户端丢失了一个服务端正在使用的障碍物文件。
Structure 你的客户端丢失了一个服务端正在使用的建筑文件。
Vehicle 你的客户端丢失了一个服务端正在使用的载具文件。
Client_Module_Desync 你的客户端正在运行一个服务端没有的自定义模组。
Server_Module_Desync 该服务端正在运行一个此客户端没有的自定义模组。
BattlEye_Broken BattlEye：服务未正确启动，请重启程序。
BattlEye_Update BattlEye：服务需要更新，请重启程序。
BattlEye_Unknown BattlEye：未知请求，请重启程序。

Pro_Title 永久黄金版升级
Pro_Button 支持该游戏的开发可解锁更多的角色定义选项，黄金版服务器资格，更多的角色栏位以及更多的黄金账号专属福利！敬请关注我们的商店页面！。
Pro_Button_Tooltip 点击这里查看商店页面。

BattlEye_Header 警告： BattlEye 已关闭
BattlEye_Body 你需要开启 BattlEye 以进入使用 BattlEye 防作弊保护的服务器，如果你错误卸载了 BattlEye 或者跳过了安装，你可以在 Unturned/BattlEye 找到 Install_BattlEye.bat 重新安装。

Overlay 需要启用Steam界面。
